"neuter, neutra, neutrum (gen. -īus)",11,neither (of two),,
nī,27,"unless, if … not",,
"nihil, n.",8,nothing,,
"nīl, n.",8,nothing,,
nisi,27,"unless, if … not",,
"noceō, nocēre, nocuī, nocitūrus (+ dat.)",7,"to harm, be harmful to",,
"nōlō, nōlle, nōluī",20,"to be unwilling, not want",,
"nōmen, nōminis, n.",7,name,,
nōn,4,not,,
nōn sōlum … sed etiam,11,not only … but also,,
"noster, nostra, nostrum",5,"our, ours",,
"novus, nova, novum",6,new; strange,,
"nox, noctis, f. ",11,night,,
"nūbēs, nūbis, f.",14,cloud,,
"nūllus, nūlla, nūllum",11,"not any, no",,
num 1,27,[signals a question that expects the answer “no”],,
num 2,27,whether [in indirect question],,
"nūmen, nūminis, n.",11,"divine will, divine power",,
numquam,20,never,,
nunc,6,"now, at present",,
"nūntiō, nūntiāre, nūntiāvī, nūntiātus",6,"to announce, report",,
"nūntius, nūntiī, m.",17,messenger; message,,
ob (+ acc.),10,because of,,
"occāsiō, occāsiōnis, f.",29,"occasion, opportunity",,
"oculus, oculī, m.",4,eye,,
"ōdī, ōdisse, —",27,to hate; dislike,,
"odium, odiī, n.",27,"hatred, unpopularity",,
"offerō, offerre, obtulī, oblātus",23,"to offer, bring forward",,
ōlim,9,once (upon a time); one day (in the future),,
"omnis, omne",10,"all, every",,
"oportet, oportēre, opportuit (+ acc.)",31,"it is right, one should; it is necessary",,
"oppidum, oppidī, n.",28,town,,
"ops, opis, f.",14,"power, help; (pl.) wealth, resources",,
"optō, optāre, optāvī, optātus",1,"to choose, desire, wish for",,
opus est (+ dat.),25,there is a need/use (for),,
"opus, operis, n.",25,"work, labor, task",,
orbis terrārum,18,the world,,
"orbis, orbis, m. ",18,circle; universe,,
"ōrō, ōrāre, ōrāvi, ōrātus",6,"to pray, beg (for) (often with two accusatives: one of the person, the other of the thing)",,
"ostendō, ostendere, ostendī, ostentus/ostēnsus",19,"to show, reveal",,
"pār, paris",12,equal (to),,
"pāreō, pārēre, pāruī, paritūrus (+ dat.)",7,"to obey, be obedient to",,
"parō, parāre, parāvī, parātus",3,to prepare,,
"pars, partis, f. ",10,"part, share, direction",,
"parvus, parva, parvum",5,small,,
"passus, passūs, m.",16,"pace, footstep",,
"pateō, patēre, patuī, —",17,"to be open, stand open",,
